,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
718,719,年方二八,1,0,0,0,0,0,0,0,0,0,1,0,1
100,101,八字一撇,0,0,0,0,1,0,0,0,0,0,1,0,1
569,570,一唱百和,0,0,0,0,1,0,0,1,0,0,0,0,1
702,703,百里挑一,0,0,0,1,0,0,0,0,1,0,0,0,1
44,45,一緣一會,0,0,0,0,1,0,0,0,1,0,0,0,1
887,888,一言千金,0,0,0,0,1,0,0,0,0,0,0,0,0
629,630,三茶六飯,0,0,0,0,1,0,0,0,0,0,0,0,0
877,878,萬無一矢,0,0,0,0,1,0,0,0,0,0,0,0,0
878,879,七孔八穿,0,0,0,0,1,0,0,0,0,0,0,0,0
891,892,一夕千念,0,0,0,0,1,0,0,0,0,0,0,0,0
644,645,四拾五入,0,0,0,0,1,0,0,0,0,0,0,0,0
879,880,七股八權,0,0,0,0,1,0,0,0,0,0,0,0,0
636,637,八索九丘,0,0,0,0,1,0,0,0,0,0,0,0,0
882,883,一彼一此,0,0,0,0,1,0,0,0,0,0,0,0,0
884,885,千奇萬怪,0,0,0,0,1,0,0,0,0,0,0,0,0
634,635,五脊六獸,0,0,0,0,1,0,0,0,0,0,0,0,0
876,877,千嬌百態,0,0,0,0,1,0,0,0,0,0,0,0,0
638,639,一歲三遷,0,0,0,0,1,0,0,0,0,0,0,0,0
635,636,百慮一失,0,0,0,0,1,0,0,0,0,0,0,0,0
889,890,欺三瞞四,0,1,0,0,0,0,0,0,0,0,0,0,0
892,893,千篇一體,0,0,0,0,1,0,0,0,0,0,0,0,0
632,633,千墟萬落,0,0,0,0,1,0,0,0,0,0,0,0,0
633,634,三門四戶,0,0,0,0,1,0,0,0,0,0,0,0,0
886,887,千籌百計,0,0,0,0,1,0,0,0,0,0,0,0,0
960,961,四清六活,0,0,0,0,1,0,0,0,0,0,0,0,0
631,632,四亭八當,0,0,0,0,1,0,0,0,0,0,0,0,0
576,577,一手一足,0,0,0,0,1,0,0,0,0,0,0,0,0
646,647,一替一句,0,0,0,0,1,0,0,0,0,0,0,0,0
647,648,四分五落,0,0,0,0,1,0,0,0,0,0,0,0,0
861,862,千熔百煉,0,0,0,0,1,0,0,0,0,0,0,0,0
672,673,問一得三,0,1,0,0,0,0,0,0,0,0,0,0,0
671,672,千絲萬繯,0,0,0,0,1,0,0,0,0,0,0,0,0
670,671,一心無二,0,0,0,1,0,0,0,0,0,0,0,0,0
862,863,三還九轉,0,0,0,0,1,0,0,0,0,0,0,0,0
668,669,一千二淨,0,0,1,0,1,1,0,0,0,0,0,0,0
667,668,千孔百瘡,0,0,0,0,1,0,0,0,0,0,0,0,0
